CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,3,-,-,-,-,-,750,"2,718.75","2,777.00",75,"22,250.00","1,200",4.65,4.75,975,-0.80,4.70,31.33,"1,942",451,"1,740",
,5,-,-,-,-,-,750,"2,669.05","2,726.65",75,"22,300.00","1,050",4.75,4.85,"1,050",-1.10,4.85,30.89,"1,393",320,"1,675",
,4,-,-,-,-,-,750,"2,620.20","2,677.00",75,"22,350.00",225,4.95,5.10,150,-1.90,4.90,30.53,491,193,299,
,4,-,-,-,-,-,750,"2,582.05","2,636.40",750,"22,400.00",450,5.25,5.40,675,-1.10,5.45,30.40,"2,021",437,"1,260",
,3,-,-,-,-,-,750,"2,521.80","2,577.15",75,"22,450.00",750,5.50,5.65,600,-1.35,5.55,29.98,"1,172",436,576,
,10,-,-,-,-,-,750,"2,472.40","2,531.75",75,"22,500.00",450,5.85,5.90,75,-1.35,5.90,29.59,"5,154",114,"3,430",
,3,-,-,-,-,-,750,"2,434.00","2,485.05",750,"22,550.00",300,6.30,6.55,300,-1.35,6.35,29.32,194,69,190,
,5,-,1,37.77,"2,470.00",174.15,750,"2,378.40","2,432.00",75,"22,600.00",675,6.60,6.70,225,-1.60,6.60,29.01,"1,272",473,864,
,5,-,-,-,-,-,750,"2,325.45","2,377.80",75,"22,650.00",450,7.00,7.25,150,-1.30,7.20,28.83,228,31,174,
,8,-,-,-,-,-,750,"2,276.45","2,328.05",75,"22,700.00",675,7.55,7.65,375,-1.45,7.55,28.43,"1,080",113,504,
,7,-,-,-,-,-,750,"2,212.75","2,278.00",75,"22,750.00",150,7.95,8.20,600,-1.45,8.20,27.89,453,103,258,
,8,-,-,-,-,-,750,"2,178.50","2,228.65",75,"22,800.00",600,8.45,8.55,750,-1.75,8.55,27.76,"1,723",95,882,
,7,-,-,-,-,-,750,"2,129.65","2,179.00",75,"22,850.00",375,9.00,9.40,600,-1.55,9.40,28.13,79,34,204,
,7,-,-,-,-,-,750,"2,080.80","2,129.30",75,"22,900.00",525,9.60,9.75,675,-1.70,9.80,27.32,907,141,440,
,7,-,-,-,-,-,750,"2,032.00","2,079.85",75,"22,950.00",150,10.25,10.50,600,-1.55,10.85,26.66,361,40,204,
,34,-,2,38.78,"2,106.00",161.00,75,"2,008.95","2,025.20",75,"23,000.00",450,11.00,11.10,750,-1.90,11.10,26.69,"17,513","4,877","11,233",
,8,-,-,-,-,-,750,"1,934.80","1,981.05",75,"23,050.00",525,11.80,12.00,600,-1.90,12.10,26.56,374,27,231,
,6,-,-,-,-,-,750,"1,887.50","1,932.90",75,"23,100.00","1,200",12.70,12.85,975,-2.00,12.80,26.22,"2,534",113,"1,222",
,7,-,-,-,-,-,750,"1,838.00","1,882.50",75,"23,150.00",150,13.65,13.95,600,-1.85,14.25,25.91,373,-16,218,
,7,-,1,28.50,"1,865.55",158.35,150,"1,806.50","1,829.45",150,"23,200.00","1,275",14.90,15.10,"1,050",-2.10,15.10,25.69,"4,366",522,"2,184",
,8,-,-,-,-,-,150,"1,756.00","1,783.50",150,"23,250.00",300,15.85,16.55,300,-2.30,16.20,25.60,423,-47,252,
,17,-,-,-,-,-,150,"1,706.60","1,734.55",150,"23,300.00",225,17.10,17.25,225,-2.35,17.20,25.25,"5,357",882,"2,886",
,6,-,-,-,-,-,150,"1,658.95","1,685.65",150,"23,350.00",150,18.45,18.75,600,-2.65,18.80,24.96,"1,167",-18,401,
,12,-,-,-,-,-,150,"1,610.50","1,637.35",150,"23,400.00",600,20.00,20.20,"1,950",-2.45,20.10,24.67,"4,843",-43,"1,821",
,10,-,-,-,-,-,150,"1,562.10","1,589.10",150,"23,450.00",600,21.60,22.00,525,-2.80,22.00,24.60,713,-41,314,
,70,11,18,20.04,"1,549.80",133.55,75,"1,522.65","1,537.30",150,"23,500.00",300,23.15,23.30,150,-3.00,23.30,24.19,"20,152",480,"7,540",
,9,-,-,-,-,-,150,"1,466.10","1,493.00",150,"23,550.00",600,25.20,25.65,525,-3.60,25.30,24.09,919,1,347,
